url	star
https://github.com/SRombauts/SQLiteCpp	915
https://github.com/msallin/SQLiteCodeFirst	486
https://github.com/stephencelis/SQLiteCipher.swift	32
https://github.com/shuebener/SQLiteCompare	11
https://github.com/Ashod/SqliteCompressed	11
https://github.com/SRombauts/SQLiteCpp	915
https://github.com/johnmbaughman/SQLiteConverter	7
https://github.com/wisdomrider/SqliteClosedHelper	7
https://github.com/linychuo/SQLiteClient	5
https://github.com/Martinfx/SQLiteCobol	4
https://github.com/kristapsdz/sqliteconvert	3
https://github.com/romanows/SQLiteChecklist	2
https://github.com/joshpavlovich/SqliteContentProvidersLoaders	2
https://github.com/zzl0/sqlitecli	2
https://github.com/dbcli/litecli	1120
https://github.com/dbcli/litecli	1120
https://github.com/mendel81/SQLiteController	2
https://github.com/dark1412myj/SqliteClass	2
https://github.com/hassanarshad115/SQLiteConnection	2
https://github.com/AndroidUiThemes/SQLiteCipher	2
https://github.com/amandesai01/SQLiteCrud	2
https://github.com/dmanning23/SQLiteConnectionBuddy	2
https://github.com/Dayojaiye74/SqliteContactApp	2
https://github.com/nickklosterman/SQLiteC	0
https://github.com/derry6/sqlitecc	0
https://github.com/rajeshdeva232/sqlitecurdoperation	0
https://github.com/zschong/sqlitecpp	0
https://github.com/AdamSLevy/sqlitechangeset	0
https://github.com/timsoft-oss/sqlitecookiejar	0
https://github.com/la-colinares/SQLiteCRUD	0
https://github.com/PSPDFKit-labs/SQLiteCpp	0
https://github.com/qmick/SQLiteCPP	0
